# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz];Trc1_S11[dB];
6.895000000000000E+009;-8.563612663088509E+000;
6.940000000000000E+009;-6.483755755728367E+000;
6.985000000000000E+009;-5.416611123214393E+000;
7.030000000000000E+009;-4.868374070996826E+000;
7.075000000000000E+009;-4.620621629211658E+000;
7.120000000000000E+009;-4.553294953703372E+000;
7.165000000000000E+009;-4.613497404033536E+000;
7.210000000000000E+009;-4.764573834132506E+000;
7.255000000000000E+009;-4.964952152273685E+000;
7.300000000000000E+009;-5.298655720895953E+000;
7.345000000000000E+009;-5.759724608111746E+000;
7.390000000000000E+009;-6.317087982321183E+000;
7.435000000000000E+009;-7.032177945768301E+000;
7.480000000000000E+009;-8.046910526975131E+000;
7.525000000000000E+009;-9.453489887888827E+000;
7.570000000000000E+009;-1.127551163118095E+001;
7.615000000000000E+009;-1.302079795207470E+001;
7.660000000000000E+009;-1.354435778989458E+001;
7.705000000000000E+009;-1.290094762445508E+001;
7.750000000000000E+009;-1.198232260300695E+001;
7.795000000000000E+009;-1.133231764455971E+001;
7.840000000000000E+009;-1.113837230262530E+001;
7.885000000000000E+009;-1.138473356042075E+001;
7.930000000000000E+009;-1.206970000049352E+001;
7.975000000000000E+009;-1.320204059653110E+001;
8.020000000000000E+009;-1.477398406954939E+001;
8.065000000000000E+009;-1.634981484207893E+001;
8.110000000000000E+009;-1.625782459881510E+001;
8.155000000000000E+009;-1.400366914131043E+001;
8.200000000000000E+009;-1.189714886703912E+001;
8.245000000000000E+009;-1.083954051454978E+001;
8.290000000000000E+009;-1.057807605381595E+001;
8.335000000000000E+009;-1.021298028317537E+001;
8.380000000000000E+009;-9.378216831992576E+000;
8.425000000000000E+009;-8.604414087621480E+000;
8.470000000000000E+009;-8.105264580832326E+000;
8.515000000000000E+009;-7.856094619947349E+000;
8.560000000000000E+009;-7.743456130008159E+000;
8.605000000000000E+009;-7.711645918939295E+000;
8.650000000000000E+009;-7.656933301489430E+000;
8.695000000000000E+009;-7.609039696734421E+000;
8.740000000000000E+009;-7.677021417227218E+000;
8.785000000000000E+009;-7.917610441723671E+000;
8.830000000000000E+009;-8.346323780718009E+000;
8.875000000000000E+009;-9.106711037801649E+000;
8.920000000000000E+009;-1.026050168828203E+001;
8.965000000000000E+009;-1.185637148145514E+001;
9.010000000000000E+009;-1.365311435703555E+001;
9.055000000000000E+009;-1.460446229385376E+001;
9.100000000000000E+009;-1.383140389236834E+001;
9.145000000000000E+009;-1.243998661043806E+001;
9.190000000000000E+009;-1.116109651033480E+001;
9.235000000000000E+009;-1.026305134398804E+001;
9.280000000000000E+009;-9.937417808193981E+000;
9.325000000000000E+009;-1.021220218164617E+001;
9.370000000000000E+009;-1.109274985847196E+001;
9.415000000000000E+009;-1.303344112292476E+001;
9.460000000000000E+009;-1.722693322783334E+001;
9.505000000000000E+009;-3.307354126889018E+001;
9.550000000000000E+009;-1.852300346169038E+001;
9.595000000000000E+009;-1.169433722620353E+001;
9.640000000000000E+009;-8.303402569798960E+000;
9.685000000000000E+009;-6.343729577567362E+000;
9.730000000000000E+009;-5.168233705068460E+000;
9.775000000000000E+009;-4.431288916132480E+000;
9.820000000000000E+009;-3.960912803892754E+000;
9.865000000000000E+009;-3.674360564801193E+000;
9.910000000000000E+009;-3.533085207321766E+000;
9.955000000000000E+009;-3.527455090834606E+000;
1.000000000000000E+010;-3.661293557408475E+000;
